product_id,review,timestamp,label
PinDuoDuo Y17 Ram,Alhamdulillah udah kedua kalinya order HP di toko ini barang nya bagus dan ori tokonya amanah terimakasih,"2026-01-29 14:15 | Variasi: Biru Muda,8/256",1
PinDuoDuo Y17 Ram,hp harga murah dan kondisi bagus bekerja normal .. terima kasih seller .. kedepannya tetap amanah dan lebih baik lagi,"2026-04-24 17:38 | Variasi: Biru,8/256",1
PinDuoDuo Y17 Ram,"Alhamdulillah berfungsi dengan baik.
Sempat was-was.
Karena sempat beli di toko sebelah,yang dikirim hp mati.
Terima kasih, semoga amanah.","2026-04-14 20:01 | Variasi: Biru Muda,8/256",1
PinDuoDuo Y17 Ram,Sukses selalu kk.. semoga sll amanah.. pesanan aman dan sesuai dg pesanan saya.. next order lg dsni.. mksh..,"2026-02-25 12:44 | Variasi: Merah,8/256",1
PinDuoDuo Y17 Ram,Hpx benar bagus dan sangat membatu anak saya dalam mengerjakan tugas,"2026-03-02 22:27 | Variasi: Biru,8/256",1
PinDuoDuo Y17 Ram,Paket udah nyampe dgn baik anak sy suka Skali HPnya🥰,"2026-02-26 16:14 | Variasi: Biru,8/256",1
PinDuoDuo Y17 Ram,Alhamdulillah paket sudah tiba dan sesuai pesanan Peking aman anti goncangan dan berfungsi dengan baik. Semoga awet,"2026-02-21 15:53 | Variasi: Pink,8/256",1
PinDuoDuo Y17 Ram,"Alhamdulillah udh sampai, bnr2 ngeplong soalnya dlu pernah beli hp mlh kena jebakan Batman, yg dtng mlh merk nya gak ada beli d atas 1 jutaan Lebih mlh d jual lagi parah bngt, tp d sini lapaknya beneran Jujur dan amanah bngt👍👍👍","2026-02-22 19:07 | Variasi: Biru Muda,8/256",1
PinDuoDuo Y17 Ram,Terima kasih barangnya sudah datang dengan keadaan baik,"2026-02-21 23:04 | Variasi: Biru Muda,8/256",1
PinDuoDuo Y17 Ram,"bagus banget, rekomen sekali toko ini, semoga selalu amanah ya, respon penjualnya juga cepat dan baik banget","2026-02-01 06:37 | Variasi: Pink,8/256",1
