product_id,review,timestamp,label
Panda_Vivo Y71,kemudahan penggunaan:,2026-03-07,1
Panda_Vivo Y71,"Lazada emang Asyik , Udah dapet discount dapet voucher pula , gratis ongkir sudah pasti 
Seller juga terpercaya , Respon Chat bertanggung jawab.
Terima kasih
"" kepuasan pembeli adalah Do'a """,2026-01-10,1
Panda_Vivo Y71,kemudahan penggunaan:,2026-01-09,1
Panda_Vivo Y71,"Alhamdulillah barang pesanan sudah di terima, real pict,Baru, segel, dan bergaransi, Kamera belakang 13MP dengan lampu kilat,dapat harga murah tai barang bagus,yang lain jangan ragu beli di toko ini. hatur nuhun seler, tks kang kurir, tks lazada.",2025-11-10,1
Panda_Vivo Y71,alhamdulillah barang nya udah sampai Reselles nya amanah banget kurir nya ramah terima kasih lazada Reselles dan mas kurir,2025-10-28,1
Panda_Vivo Y71,Durability:,2025-10-30,1
Panda_Vivo Y71,"Kamera belakang 13MP dengan lampu kilat, Baru, segel, dan bergaransi, 
terimakasih tokonya sudah amanah banget 
terimakasih Lazada 
terimakasih Abang kurirnya ramahKapasitas baterai 3360mAh,",2025-10-21,1
Panda_Vivo Y71,"Alhamdulillah barang sesuai pesanan tokonya amanah hp baru segel. datang sore langsung dices, semoga aja awet terimakasih kak...Baru, segel, dan bergaransi, Kapasitas baterai 3360mAh,",2025-10-11,1
Panda_Vivo Y71,untuk sekarang udah 2hari Alhamdulillah bagussss batrei ya juga kuat mudahan mudahan bisa awet tokonya juga amanah kulirya juga amanah baik terimakasih banyak lazada sukses selalu pokoknya puassss jangan ragu bagus harga murah tapi gak murahan,2025-10-13,1
Panda_Vivo Y71,paket aman. hanya saja baru pakai sehari udah bootlop recovery. diflash sinyal hilang. tapi nggak masalah buat eksperimen.,2025-10-09,1
Panda_Vivo Y71,"mantap, lumayan si hpnya, wajib beli, apalagi we dapat harga 181 ribu, cod, di kirim ke daerah sumbar, tidak mengecewakan, nnti pesan lagi,",2025-10-05,1
Panda_Vivo Y71,"Baru, segel, dan bergaransi, Kapasitas baterai 3360mAh, Pelindung kaca Gorilla Glass 3,",2025-09-30,1
Panda_Vivo Y71,"Alhamdulillah, paket nyampe. semua lengkap dan berfungsi 👍 desainnya, bagus. ketahanan? selamat, dan sukses untuk semua👍👍👍",2025-09-26,1
Panda_Vivo Y71,maaap baru kasih ulesan soal nya waktu pas datang anak saya nya belam da sekarang udah ada d rmh lumayan lah dengan harga segtu irit d. kantong toko nya amanah Abang Ade makasih,2 minggu lalu,1
Panda_Vivo Y71,"Baru, segel, dan bergaransi, Kamera belakang 13MP dengan lampu kilat, Kapasitas baterai 3360mAh,",2025-09-18,1
Panda_Vivo Y71,"Desain bodi aluminium, Kamera belakang 13MP dengan lampu kilat, Kapasitas baterai 3360mAh, semoga tidak ada kendala",2 minggu lalu,1
Panda_Vivo Y71,kemudahan penggunaan:,2025-09-11,1
