review_id,store_id,review_raw,timestamp_raw,store_label,review_text,review_date,sentiment_label,prob_neg,prob_neu,prob_pos,sentiment_name
1780196625-48,Panda_Vivo Y71,maaf baru di ulas.barangny bagus dan normal semoga awet dan tahan lama.🙏,2025-06-19,0,maaf baru di ulas barangny bagus dan normal semoga awet dan tahan lama,2025-06-19 00:00:00,0,0.9326401,0.041260455,0.026099449,positif
1780196625-51,Panda_Vivo Y71,"mantap, udah pesan 2x aman, semoga terus amanah,, dan awett",2025-06-19,0,mantap udah pesan 2x aman semoga terus amanah dan awett,2025-06-19 00:00:00,0,0.9942918,0.004299208,0.0014090373,positif
1780196625-41,Panda_Vivo Y71,paket telah mendarat dengan aman dan cocok sesuai pesanan dan sesuai gambar,2025-07-02,0,paket telah mendarat dengan aman dan cocok sesuai pesanan dan sesuai gambar,2025-07-02 00:00:00,1,0.46157542,0.53567195,0.0027525735,netral
1780196625-172,Panda_Vivo Y71,mantap💖💖💖💖💖toko terpercaya bagi saya...semoga sukses..amanah truuus ya💖💖💖💖,2025-07-03,0,mantap toko terpercaya bagi saya semoga sukses amanah truuus ya,2025-07-03 00:00:00,0,0.9925679,0.006536962,0.00089512224,positif
1780196625-167,Panda_Vivo Y71,"packing nya rapih dan aman, pengiriman cepat
barang dalam kondisi bagus dan original dan lengkap",2025-07-05,0,packing nya rapih dan aman pengiriman cepat barang dalam kondisi bagus dan original dan lengkap,2025-07-05 00:00:00,0,0.9925728,0.0066002,0.0008269352,positif
1780196625-186,Panda_Vivo Y71,kualitas bagus sesuai pesanan,2025-07-05,0,kualitas bagus sesuai pesanan,2025-07-05 00:00:00,0,0.9958222,0.0030362979,0.0011414723,positif
1780196625-201,Panda_Vivo Y71,"pengiriman tgl 25 juni dan tiba tgl 8 juli, biasanya 2-3 hari sdh nyampe, sangat mengecewakan untuk pengiriman. penjual mantap, gercep",2025-07-08,0,pengiriman tgl 25 juni dan tiba tgl 8 juli biasanya 2 3 hari sdh nyampe sangat mengecewakan untuk pengiriman penjual mantap gercep,2025-07-08 00:00:00,2,0.0039975145,0.0016509409,0.9943515,negatif
1780196625-335,Panda_Vivo Y71,Alhamdulillah.. sesuai keinginan.. barang bagus beneran baru mantap,2025-07-08,0,alhamdulillah sesuai keinginan barang bagus beneran baru mantap,2025-07-08 00:00:00,0,0.99622774,0.0029483107,0.00082397653,positif
1780196625-160,Panda_Vivo Y71,"hp sudah sampe dan telah ku coba lumayan, dengan harga sangat murah makasih seler dan makasih buat kurirnya.",2025-07-10,0,handphone sudah sampe dan telah ku coba lumayan dengan harga sangat murah makasih penjual dan makasih buat kurirnya,2025-07-10 00:00:00,0,0.99056584,0.008257915,0.0011763,positif
1780196625-183,Panda_Vivo Y71,blm d cek batre kosong sdng d isi baterai,2025-07-11,0,blm d cek batre kosong sdng d isi baterai,2025-07-11 00:00:00,1,0.0023275053,0.79607177,0.20160072,netral
1780196625-150,Panda_Vivo Y71,"Very recommended seller. 
Produk sesuai deskripsi, produk baru segel box, proses cepat, aman sampai di tempat saya. Sangat puas, mau pesan lagi nanti.. Terimakasih",2025-07-12,0,very recommended penjual produk sesuai deskripsi produk baru segel box proses cepat aman sampai di tempat saya sangat puas mau pesan lagi nanti terima kasih,2025-07-12 00:00:00,0,0.9957087,0.002701236,0.0015900857,positif
1780196625-157,Panda_Vivo Y71,"sesuai pesanan, toko nya terpecaya, pengirimannya cpt , dpt hrg murah, Hp nya bagus dan msh mulus, Alhamdulillah nyala dan aman. ga tau ini Hp bekas atw br ya soalnya di dlm dus cm ada charger sm Hp aja. uda gitu Batre Hp nya uda 100% aja. semoga awet. thanks buat toko dan kurir nya. maaf video nya ga bs terpasang saat buka paket.",2025-07-12,0,sesuai pesanan toko nya terpecaya pengirimannya cpt dapat hrg murah handphone nya bagus dan msh mulus alhamdulillah nyala dan aman tidak tau ini handphone bekas atw br ya soalnya di dlm dus cm ada charger sm handphone aja uda gitu batre handphone nya uda 100 aja semoga awet thanks buat toko dan kurir nya maaf video nya tidak bs terpasang saat buka paket,2025-07-12 00:00:00,0,0.95509773,0.023434313,0.021467984,positif
1780196625-177,Panda_Vivo Y71,barangnya sudah sampai dengan selamat terima kasih?,2025-07-13,0,barangnya sudah sampai dengan selamat terima kasih,2025-07-13 00:00:00,1,0.36433485,0.62918174,0.00648342,netral
1780196625-33,Panda_Vivo Y71,"mantaf sesuai iklan
HP gres mulus dan normal
pengiriman cepat
respon penjual cepat dan bersahabat
harga bersaing
makasih banget seller",2025-07-17,0,mantaf sesuai iklan handphone gres mulus dan normal pengiriman cepat respon penjual cepat dan bersahabat harga bersaing makasih banget penjual,2025-07-17 00:00:00,0,0.9940388,0.004305413,0.0016558181,positif
1780196625-375,Panda_Vivo Y71,saya pesanwarna biru ko Dateng nya warna putih,2025-07-21,0,saya pesanwarna biru ko dateng nya warna putih,2025-07-21 00:00:00,1,0.0023302683,0.9957059,0.001963796,netral
1780196625-154,Panda_Vivo Y71,oke mantul paket berfungsi dgn baik tidak ada kendala..smoga awet..recomended poko na mah hehe..trima kasih bos kuh,2025-07-22,0,oke mantul paket berfungsi dengan baik tidak ada kendala smoga awet recomended poko na mah hehe trima kasih bos kuh,2025-07-22 00:00:00,0,0.9823775,0.014878878,0.0027436765,positif
1780196625-187,Panda_Vivo Y71,"sesuai pesanan
smoga awet",2025-07-23,0,sesuai pesanan smoga awet,2025-07-23 00:00:00,0,0.9920025,0.0066939346,0.0013036827,positif
1780196625-188,Panda_Vivo Y71,"barang ok
..tpi blm pakai",2025-07-23,0,barang ok tapi blm pakai,2025-07-23 00:00:00,1,0.010669295,0.83073586,0.15859477,netral
1780196625-176,Panda_Vivo Y71,pesanan cepat belum di buka mudah2an sesuai,2025-08-06,0,pesanan cepat belum di buka mudah2an sesuai,2025-08-06 00:00:00,0,0.8448649,0.14593042,0.009204585,positif
1780196625-320,Panda_Vivo Y71,"bagus normal semua ...sesuai dikripsi
terimakasih seler n lazada",2025-08-09,0,bagus normal semua sesuai dikripsi terima kasih penjual n lazada,2025-08-09 00:00:00,1,0.13769355,0.8465747,0.015731772,netral
1780196625-181,Panda_Vivo Y71,"sangat puas,toko yg amanah",2025-08-14,0,sangat puas toko yang amanah,2025-08-14 00:00:00,0,0.99519205,0.0035642982,0.0012437105,positif
1780196625-137,Panda_Vivo Y71,"Alhamdulillah sampenya cepet banget 
triBaru, segel, dan bergaransi, maakasih ka
respon sellernya juga cepet",2025-08-22,0,alhamdulillah sampenya cepet banget tribaru segel dan bergaransi maakasih ka respon sellernya juga cepet,2025-08-22 00:00:00,0,0.98378307,0.014672952,0.0015439742,positif
1780196625-22,Panda_Vivo Y71,"Pelindung kaca Gorilla Glass 3, Kamera belakang 13MP dengan lampu kilat, Desain bodi aluminium, ..
pesanan sudah di terima, barang bagus dan masih baru ( masih di segel ).. kondisi normal dan tidak ada kendala.. tokonya amanah, saya puas sekali belanja di sini..
terima kasih seller jg lazada semoga semakin sukses dan maju...!! 
😊😊🙏👍👍👍👍👍",2025-08-28,0,pelindung kaca gorilla glass 3 kamera belakang 13mp dengan lampu kilat desain bodi aluminium pesanan sudah di terima barang bagus dan masih baru masih di segel kondisi normal dan tidak ada kendala tokonya amanah saya puas sekali belanja di sini terima kasih penjual jg lazada semoga semakin sukses dan maju,2025-08-28 00:00:00,0,0.9804826,0.017297491,0.0022199324,positif
1780196625-350,Panda_Vivo Y71,"Desain bodi aluminium, Kapasitas baterai 3360mAh, hadeuh",2025-09-04,0,desain bodi aluminium kapasitas baterai 3360mah hadeuh,2025-09-04 00:00:00,1,0.007470436,0.9914179,0.0011116728,netral
1780196625-20,Panda_Vivo Y71,"Kamera belakang 13MP dengan lampu kilat, Pelindung kaca Gorilla Glass 3, masih segel kardusnya, aman tiba di tempat saya. 
saya tidak tau ini apa china made versi kw nya kah, respon layar agak delay",2025-09-05,0,kamera belakang 13mp dengan lampu kilat pelindung kaca gorilla glass 3 masih segel kardusnya aman tiba di tempat saya saya tidak tau ini apa china made versi tiruan nya kah respon layar agak delay,2025-09-05 00:00:00,2,0.013115375,0.016910596,0.96997404,negatif
1780196625-19,Panda_Vivo Y71,"Kapasitas baterai 3360mAh, Oke dan sangat baik",2025-09-07,0,kapasitas baterai 3360mah oke dan sangat baik,2025-09-07 00:00:00,0,0.99226475,0.0067074643,0.0010277511,positif
