product_id,label,urutan_waktu,timestamp,S_plus,S_netral,S_minus
Temu Toko_Ip 17 Pro,1,1,2025-09-08 11:53:00,0.9977717995643616,0.0013452606508508,0.0008828709833323
Temu Toko_Ip 17 Pro,1,2,2025-09-08 11:57:00,0.9949722290039062,0.0019104739185422,0.003117254236713
Temu Toko_Ip 17 Pro,1,3,2025-09-18 17:02:00,0.0020167492330074,0.0275939051061868,0.9703893065452576
Temu Toko_Ip 17 Pro,1,4,2025-09-28 20:52:00,0.9966555833816528,0.0016296656103804,0.0017148430924862
Temu Toko_Ip 17 Pro,1,5,2025-10-14 22:25:00,0.2115773856639862,0.7860950827598572,0.0023274393752217
Temu Toko_Ip 17 Pro,1,6,2025-10-30 10:47:00,0.9969859719276428,0.0017269442323595,0.0012871777871623
Temu Toko_Ip 17 Pro,1,7,2025-11-02 19:58:00,0.9950653910636902,0.001616557361558,0.0033180913887917
Temu Toko_Ip 17 Pro,1,8,2025-12-23 17:06:00,0.9944366216659546,0.0022944398224353,0.0032688919454813
Temu Toko_Ip 17 Pro,1,9,2025-12-26 13:35:00,0.9971882700920104,0.0015417108079418,0.0012700043153017
Temu Toko_Ip 17 Pro,1,10,2025-12-27 14:19:00,0.9824268817901612,0.0169055555015802,0.0006674986798316
Temu Toko_Ip 17 Pro,1,11,2026-01-07 11:03:00,0.0066065532155334,0.0018204860389232,0.9915729761123656
Temu Toko_Ip 17 Pro,1,12,2026-01-07 11:03:00,0.0066065532155334,0.0018204860389232,0.9915729761123656
Temu Toko_Ip 17 Pro,1,13,2026-01-12 14:40:00,0.9951286315917968,0.0033776338677853,0.0014937672531232
Temu Toko_Ip 17 Pro,1,14,2026-01-14 01:54:00,0.9928927421569824,0.0050241588614881,0.0020831194706261
Temu Toko_Ip 17 Pro,1,15,2026-02-05 19:02:00,0.0007622627890668,0.0689423605799675,0.9302953481674194
Temu Toko_Ip 17 Pro,1,16,2026-05-11 00:53:00,0.0014734340365976,0.9343084692955016,0.0642181634902954
Temu Toko_Ip 17 Pro,1,17,2026-05-13 18:21:00,0.0037984722293913,0.8874975442886353,0.1087039709091186
Temu Toko_Ip 17 Pro,1,18,2026-05-29 19:40:00,0.0006140455952845,0.0063623003661632,0.9930236339569092
