product_id,review,timestamp,label,S_plus,S_netral,S_minus,predicted_label
Temu Toko_Ip 17 Pro,"keren ini mah hp nya kecil tapi gak kecil baget anak saya suka buat bocill cocok dari pada harus rebutan sama saya harga terjangkau kualitas gak perlu di ragukan lagi, gak perlu pikir panjang langsung checkout barang memuaskan terima kasih seller",2025-09-08 11:53:00,1,0.9977717995643616,0.0013452606508508325,0.0008828709833323956,POSITIVE
Temu Toko_Ip 17 Pro,di luar ekspetasi saya ga nyangka bakal se cute ini udah di coba berfungsi dengan baikk ga nyesel deh pokoknya respon penjual pun cepat sekali hitam doff juga glossy mantull,2025-09-08 11:57:00,1,0.9949722290039062,0.001910473918542266,0.003117254236713052,POSITIVE
Temu Toko_Ip 17 Pro,"barang tidak sesuai deskripsi tidak bisa di pakaikan sim card hp nya juga lambat sim terbaca tapi jaringan internet nya gak bisa di pake.. saya sudah masukin telkomsel, axis dan m3 malah m3 tulisannya roaming seller nya juga gak bales waktu di cht",2025-09-18 17:02:00,1,0.002016749233007431,0.027593905106186867,0.9703893065452576,NEGATIVE
Temu Toko_Ip 17 Pro,"awanya agak ragu, tapi setelah dicoba imut bgt dan lucu. sinyal aman, wifi lancar. walau emang kinerja agak lemot dibanding hape normal. tapi wajar untuk hape mini kayak gini. cocok buat second phone.",2025-09-28 20:52:00,1,0.9966555833816528,0.0016296656103804708,0.0017148430924862623,POSITIVE
Temu Toko_Ip 17 Pro,trmksi kak barang nya sudah sampai,2025-10-14 22:25:00,1,0.2115773856639862,0.7860950827598572,0.0023274393752217293,NEUTRAL
Temu Toko_Ip 17 Pro,ini hp nya tidak bisa nge baca sim card terima kasih,2026-05-11 00:53:00,1,0.0014734340365976095,0.9343084692955017,0.06421816349029541,NEUTRAL
Temu Toko_Ip 17 Pro,mantpss,2025-12-23 17:06:00,1,0.9944366216659546,0.002294439822435379,0.0032688919454813004,POSITIVE
Temu Toko_Ip 17 Pro,baguss bgtt gak nyesel beli disini,2025-10-30 10:47:00,1,0.9969859719276428,0.0017269442323595285,0.0012871777871623635,POSITIVE
Temu Toko_Ip 17 Pro,barang tidak bisa di pake,2026-02-05 19:02:00,1,0.0007622627890668809,0.0689423605799675,0.9302953481674194,NEGATIVE
Temu Toko_Ip 17 Pro,hp nya tidak masuk jadi di charge,2026-05-13 18:21:00,1,0.0037984722293913364,0.8874975442886353,0.10870397090911865,NEUTRAL
Temu Toko_Ip 17 Pro,"barang rusak kok dijual! beli pertama warna oren, oke segelan semua masih baru lalu saya beli kedua warna silver, barang datang ngga ada segel, screen protector sudah terpasang, curiga sudah bekas rusak orang retur sebelomnya, beneran, ga bisa nyala, ga bisa di charge ajukan pengembalian entah kenapa hari k3 sudah ga ada pilihannya seller dikontak tidak mau urus, tidak tanggung jawab, jelas barang ini rusak jahat yah, semoga kaya raya kamu kerja model seperti ini. ini sudah pasti barang returan dari orang lain yang rusak dikirim ke saya",2026-01-07 11:03:00,1,0.006606553215533495,0.0018204860389232635,0.9915729761123657,NEGATIVE
Temu Toko_Ip 17 Pro,"barang rusak kok dijual! beli pertama warna oren, oke segelan semua masih baru lalu saya beli kedua warna silver, barang datang ngga ada segel, screen protector sudah terpasang, curiga sudah bekas rusak orang retur sebelomnya, beneran, ga bisa nyala, ga bisa di charge ajukan pengembalian entah kenapa hari k3 sudah ga ada pilihannya seller dikontak tidak mau urus, tidak tanggung jawab, jelas barang ini rusak jahat yah, semoga kaya raya kamu kerja model seperti ini. ini sudah pasti barang returan dari orang lain yang rusak dikirim ke saya",2026-01-07 11:03:00,1,0.006606553215533495,0.0018204860389232635,0.9915729761123657,NEGATIVE
Temu Toko_Ip 17 Pro,hp utk anak2 sgt lucu,2026-01-12 14:40:00,1,0.9951286315917969,0.0033776338677853346,0.0014937672531232238,POSITIVE
Temu Toko_Ip 17 Pro,"overall puas, lucu bgt gemess",2025-12-26 13:35:00,1,0.9971882700920105,0.001541710807941854,0.001270004315301776,POSITIVE
Temu Toko_Ip 17 Pro,"thanks hpnya sudah di terima, pengiriman cepat dan anakku suka thanks kak",2025-12-27 14:19:00,1,0.9824268817901611,0.01690555550158024,0.000667498679831624,POSITIVE
Temu Toko_Ip 17 Pro,batre bocor,2026-05-29 19:40:00,1,0.0006140455952845514,0.006362300366163254,0.9930236339569092,NEGATIVE
Temu Toko_Ip 17 Pro,baguss skli..smoga awet,2026-01-14 01:54:00,1,0.9928927421569824,0.005024158861488104,0.002083119470626116,POSITIVE
Temu Toko_Ip 17 Pro,lucuu,2025-11-02 19:58:00,1,0.9950653910636902,0.0016165573615580797,0.0033180913887917995,POSITIVE
