product_id,review,label,S_plus,S_netral,S_minus,predicted_label
TAOB88.SHOP_ip17,"wort it banget dengan harga segini kualitas juga oke, responsif kamera bagus, dan ada cashback juga mantap!",1,0.9973336458206177,0.001630672486498952,0.0010356854181736708,POSITIVE
TAOB88.SHOP_ip17,terima kasih aku dapat iphone yang asli dengan harganya sangat tidak masuk akal terima kasih ayo semuanya buruan check out,1,0.005563882179558277,0.00556185282766819,0.9888743162155151,NEGATIVE
TAOB88.SHOP_ip17,"sebelum beli sempat ragu ragu, hpnya betulan di kirim apa enggak ternyata betulan di kirim sesuai pesanan ku.",1,0.008923038840293884,0.9637944102287292,0.02728254348039627,NEUTRAL
TAOB88.SHOP_ip17,mirip banget aslinya klu cma sekedar pemakaian seadanya sdh ok. tp klu mau cari yg sempurna beli aslinya ja. cukup puas dengan yg ada ini,1,0.9857234358787537,0.0029761854093521833,0.011300290934741497,POSITIVE
TAOB88.SHOP_ip17,bagus bgt puas deh,1,0.9969616532325745,0.0019589071162045,0.0010793745750561357,POSITIVE
TAOB88.SHOP_ip17,sesuai pesanan ..cepat smp..good,1,0.9912006258964539,0.005786939524114132,0.0030125051271170378,POSITIVE
TAOB88.SHOP_ip17,"barang nya sesuai di foto,barang bagus dngan harga segini sih udah bagus banget ya mnurut aku blanja di sini memuaskan,mksih seller mksih juga buat abg kurir",1,0.9959050416946411,0.0019853750709444284,0.002109560649842024,POSITIVE
TAOB88.SHOP_ip17,sebening tetesan embun pagi secerah sinarnya mentari bila ku tatap wajahmu ibu ada kehangatan di dalam hatiku air wudhu selalu membasahimu ayat suci selalu dikumandangkan suara lembut penuh keluh dan kesah berdoa untuk putra putrinya oh ibuku engkaulah wanita yang ku cinta selama hidupku maafkan anakmu bila ada salah pengorbananmu tanpa balas jasa ya allah ampuni dosanya sayangilah seperti menyayangiku berilah ia kebahagiaan di dunia juga di akhirat,1,0.9239200353622437,0.03525187447667122,0.04082803800702095,POSITIVE
TAOB88.SHOP_ip17,intinya jelek banget kamera jelek batre boros panas banget. jangan beli di sini ya gays kualitas buruk!,1,0.0010189828462898731,0.0008484272402711213,0.9981326460838318,NEGATIVE
TAOB88.SHOP_ip17,mantull,1,0.9949043989181519,0.003941869363188744,0.0011537708342075348,POSITIVE
TAOB88.SHOP_ip17,saya suka karna paketnya benar2 sampai dg harga segitu dan untuk kurir ny terima kasih,1,0.9952854514122009,0.00415381882339716,0.0005607181810773909,POSITIVE
TAOB88.SHOP_ip17,trm kasih paket udh di terima dgn baik dn mantep banget..,1,0.9954368472099304,0.003880675183609128,0.0006824902375228703,POSITIVE
TAOB88.SHOP_ip17,kaca jernih seler juga ramah,1,0.9933875799179077,0.005781266372650862,0.0008310212870128453,POSITIVE
TAOB88.SHOP_ip17,baik sesuai ekspetasi,1,0.9347114562988281,0.052014220505952835,0.013274326920509338,POSITIVE
TAOB88.SHOP_ip17,belum satu bulan sudah matot. masih minta tolong admin tapi tiada kejelasan,1,0.0005598904681392014,0.0050285011529922485,0.9944116473197937,NEGATIVE
TAOB88.SHOP_ip17,pusat kontrol dan bulatan siri nya gadak min,1,0.0012026537442579865,0.008704914711415768,0.9900924563407898,NEGATIVE
TAOB88.SHOP_ip17,tidak bisa aktif jaringan datanya,1,0.0021438407711684704,0.7682787775993347,0.22957734763622284,NEUTRAL
TAOB88.SHOP_ip17,tdk bisa berfungsi,1,0.0009450478828512132,0.0033643997740000486,0.9956905245780945,NEGATIVE
TAOB88.SHOP_ip17,respon kurang baik,1,0.0010472239227965474,0.0012920480221509933,0.997660756111145,NEGATIVE
TAOB88.SHOP_ip17,mirip banget kayak ori,1,0.966420590877533,0.00882834941148758,0.024750983342528343,POSITIVE
TAOB88.SHOP_ip17,"dgn nominal segitu, oke si",1,0.5160419940948486,0.4682510197162628,0.01570698991417885,POSITIVE
TAOB88.SHOP_ip17,semoga awet dan tidak mudah error baik devicenya maupun softwarenya,1,0.9816790223121643,0.015326685272157192,0.0029942928813397884,POSITIVE
TAOB88.SHOP_ip17,next order lagi,1,0.20756372809410095,0.7875266075134277,0.004909648094326258,NEUTRAL
TAOB88.SHOP_ip17,masya allah anak saya suka banget,1,0.997027575969696,0.0022930591367185116,0.0006794126238673925,POSITIVE
TAOB88.SHOP_ip17,tdk bisa berfungsi,1,0.0009450478828512132,0.0033643997740000486,0.9956905245780945,NEGATIVE
