product_id,review,label
TAOB88.SHOP_ip17,"wort it banget dengan harga segini kualitas juga oke, responsif kamera bagus, dan ada cashback juga mantap!",1
TAOB88.SHOP_ip17,terima kasih aku dapat iphone yang asli dengan harganya sangat tidak masuk akal terima kasih ayo semuanya buruan check out,1
TAOB88.SHOP_ip17,"sebelum beli sempat ragu ragu, hpnya betulan di kirim apa enggak ternyata betulan di kirim sesuai pesanan ku.",1
TAOB88.SHOP_ip17,mirip banget aslinya klu cma sekedar pemakaian seadanya sdh ok. tp klu mau cari yg sempurna beli aslinya ja. cukup puas dengan yg ada ini,1
TAOB88.SHOP_ip17,bagus bgt puas deh,1
TAOB88.SHOP_ip17,sesuai pesanan ..cepat smp..good,1
TAOB88.SHOP_ip17,"barang nya sesuai di foto,barang bagus dngan harga segini sih udah bagus banget ya mnurut aku blanja di sini memuaskan,mksih seller mksih juga buat abg kurir",1
TAOB88.SHOP_ip17,sebening tetesan embun pagi secerah sinarnya mentari bila ku tatap wajahmu ibu ada kehangatan di dalam hatiku air wudhu selalu membasahimu ayat suci selalu dikumandangkan suara lembut penuh keluh dan kesah berdoa untuk putra putrinya oh ibuku engkaulah wanita yang ku cinta selama hidupku maafkan anakmu bila ada salah pengorbananmu tanpa balas jasa ya allah ampuni dosanya sayangilah seperti menyayangiku berilah ia kebahagiaan di dunia juga di akhirat,1
TAOB88.SHOP_ip17,intinya jelek banget kamera jelek batre boros panas banget. jangan beli di sini ya gays kualitas buruk!,1
TAOB88.SHOP_ip17,mantull,1
TAOB88.SHOP_ip17,saya suka karna paketnya benar2 sampai dg harga segitu dan untuk kurir ny terima kasih,1
TAOB88.SHOP_ip17,trm kasih paket udh di terima dgn baik dn mantep banget..,1
TAOB88.SHOP_ip17,kaca jernih seler juga ramah,1
TAOB88.SHOP_ip17,baik sesuai ekspetasi,1
TAOB88.SHOP_ip17,belum satu bulan sudah matot. masih minta tolong admin tapi tiada kejelasan,1
TAOB88.SHOP_ip17,pusat kontrol dan bulatan siri nya gadak min,1
TAOB88.SHOP_ip17,tidak bisa aktif jaringan datanya,1
TAOB88.SHOP_ip17,tdk bisa berfungsi,1
TAOB88.SHOP_ip17,respon kurang baik,1
TAOB88.SHOP_ip17,mirip banget kayak ori,1
TAOB88.SHOP_ip17,"dgn nominal segitu, oke si",1
TAOB88.SHOP_ip17,semoga awet dan tidak mudah error baik devicenya maupun softwarenya,1
TAOB88.SHOP_ip17,next order lagi,1
TAOB88.SHOP_ip17,masya allah anak saya suka banget,1
TAOB88.SHOP_ip17,tdk bisa berfungsi,1
